Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Code table 3.15 - Physical meaning of vertical coordinate,,104,,Sigma coordinate,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,105,,Hybrid coordinate,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,106,,Depth below land surface,,,m,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,107,,Potential temperature (theta),,,K,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,108,,Pressure deviation from ground to level,,,Pa,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,109,,Potential vorticity,,,K m2 kg-1 s-1,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,110,,Geometrical height,,,m,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,111,,Eta coordinate,(see Note 2),85,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,112,,Geopotential height,,,gpm,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,113,,Logarithmic hybrid coordinate,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,114-159,,Reserved,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,160,,Depth below sea level,,,m,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,161-191,,Reserved,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,192-254,,Reserved for local use,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,255,,Missing,,,,Operational
Code table 3.20 - Type of horizontal line,,0,,Rhumb,,,,Operational
Code table 3.20 - Type of horizontal line,,1,,Great circle,,,,Operational
Code table 3.20 - Type of horizontal line,,2-191,,Reserved,,,,Operational
Code table 3.20 - Type of horizontal line,,192-254,,Reserved for local use,,,,Operational
Code table 3.20 - Type of horizontal line,,255,,Missing,,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,0,,Explicit coordinate values set,,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,1,,"Linear coordinates f(1) = C1, f(n) = f(n-1) + C2",,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,2-10,,Reserved,,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,11,,"Geometric coordinates f(1) = C1, f(n) = C2 × f(n-1)",,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,12-191,,Reserved,,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,192-254,,Reserved for local use,,,,Operational
Code table 3.21 - Vertical dimension coordinate values definition,,255,,Missing,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,0-76,,Reserved,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,77,,Rectangular,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,78-87,,Reserved,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,88,,Elliptic,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,89-98,,Reserved,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,99,,Diamond,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,100-191,,Reserved,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,192-254,,Reserved for local use,,,,Operational
Code table 3.25 - Type of bi-Fourier truncation,,255,,Missing,,,,Operational
Code table 4.0 - Product definition template number,,0,,Analysis or forecast at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,1,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",,,,Operational
Code table 4.0 - Product definition template number,,2,,Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,3,,Derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,4,,Derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,5,,Probability forecasts at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,6,,Percentile forecasts at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,7,,Analysis or forecast error at a horizontal level or in a horizontal layer at a point in time,,,,Operational
Code table 4.0 - Product definition template number,,8,,"Average, accumulation, extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,,,Operational
Code table 4.0 - Product definition template number,,9,,Probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,,Operational
Code table 4.0 - Product definition template number,,10,,Percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval,,,,Experimental
Code table 4.0 - Product definition template number,,11,,"Individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous interval",,,,Operational
